basis,segment,kind,department,training_closes,exact_scored_closes,exact_median_ape,exact_mape,exact_band_80_low,exact_band_80_high,exact_per_m2_baseline_median_ape,exact_chance_beats_baseline,exact_confidence,exact_published,exact_why_not,barrio_scored_closes,barrio_median_ape,barrio_mape,barrio_band_80_low,barrio_band_80_high,barrio_per_m2_baseline_median_ape,barrio_chance_beats_baseline,barrio_confidence,barrio_published,barrio_why_not,city_scored_closes,city_median_ape,city_mape,city_band_80_low,city_band_80_high,city_per_m2_baseline_median_ape,city_chance_beats_baseline,city_confidence,city_published,city_why_not
rent,duplex|central,duplex,Central,137,104,0.1637,0.1937,-0.1672,0.4665,0.2322,0.998,65,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",112,0.1694,0.1896,-0.1914,0.3895,0.2292,1,66,1,
rent,duplex|concepcion,duplex,Concepción,1,1,0.2027,0.2027,-0.1685,-0.1685,0.3108,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2027,0.2027,-0.1685,-0.1685,0.3108,,,0,"1 training closes, needs 30"
rent,duplex|itapua,duplex,Itapúa,25,19,0.1045,0.1667,-0.2564,0.5625,0.1024,0.627,,0,"25 training closes, needs 30",0,,,,,,,,0,"25 training closes, needs 30",24,0.2193,0.2248,-0.1628,0.6566,0.1179,0.039,,0,"25 training closes, needs 30"
rent,local|alto parana,local,Alto Paraná,21,16,0.2804,0.5444,-0.6001,0.2183,0.7604,0.991,,0,"21 training closes, needs 30",0,,,,,,,,0,"21 training closes, needs 30",16,0.3342,0.627,-0.6117,0.5955,0.7604,0.995,,0,"21 training closes, needs 30"
rent,local|asuncion,local,Asunción,75,51,0.3414,0.4779,-0.4946,0.9802,0.4837,0.876,,0,"51 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",62,0.4158,0.5944,-0.5025,1.5538,0.5444,0.916,0,1,
rent,local|boqueron,local,Boquerón,8,6,0.2119,0.3085,-0.2778,0.522,0.6826,,,0,"8 training closes, needs 30",0,,,,,,,,0,"8 training closes, needs 30",8,0.2896,0.424,-0.4756,0.4366,0.5195,,,0,"8 training closes, needs 30"
rent,local|caazapa,local,Caazapá,1,1,0.7263,0.7263,-0.4207,-0.4207,0.4893,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.7263,0.7263,-0.4207,-0.4207,0.4893,,,0,"1 training closes, needs 30"
rent,local|central,local,Central,120,84,0.261,0.5362,-0.4587,0.825,0.4441,1,27,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",94,0.3046,0.5076,-0.4421,0.8571,0.4441,1,27,1,
rent,local|cordillera,local,Cordillera,4,2,0.7881,0.7881,-0.5349,-0.2271,1.4027,,,0,"4 training closes, needs 30",0,,,,,,,,0,"4 training closes, needs 30",3,0.7889,1.0307,-0.5806,2.9401,0.5009,,,0,"4 training closes, needs 30"
rent,local|itapua,local,Itapúa,23,18,0.3655,0.7268,-0.6896,0.542,0.4537,0.794,,0,"23 training closes, needs 30",0,,,,,,,,0,"23 training closes, needs 30",21,0.384,0.7543,-0.6459,0.6925,0.4773,0.663,,0,"23 training closes, needs 30"
rent,local|misiones,local,Misiones,1,0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30"
rent,oficina|alto parana,oficina,Alto Paraná,26,10,0.3072,0.5602,-0.258,1.0738,0.3642,0.649,,0,"26 training closes, needs 30",0,,,,,,,,0,"26 training closes, needs 30",26,0.2079,0.3847,-0.1848,1.9423,0.3607,0.922,,0,"26 training closes, needs 30"
rent,oficina|asuncion,oficina,Asunción,53,43,0.2641,0.4887,-0.5161,0.9532,0.3436,0.701,,0,"43 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",48,0.3479,0.5253,-0.5654,1.2543,0.3969,0.544,,0,"48 held-out closes across the three folds, needs 60"
rent,oficina|boqueron,oficina,Boquerón,1,1,0.3738,0.3738,0.5969,0.5969,0.5047,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.3738,0.3738,0.5969,0.5969,0.5047,,,0,"1 training closes, needs 30"
rent,oficina|central,oficina,Central,8,6,0.2901,0.7545,-0.5116,0.6015,0.7297,,,0,"8 training closes, needs 30",0,,,,,,,,0,"8 training closes, needs 30",6,0.3357,0.8196,-0.5278,0.5554,0.7297,,,0,"8 training closes, needs 30"
rent,oficina|itapua,oficina,Itapúa,2,2,0.3607,0.3607,0.2179,2.1154,0.458,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.4052,0.4052,0.345,2.1295,0.458,,,0,"2 training closes, needs 30"
rent,quinta|itapua,quinta,Itapúa,1,1,1.4393,1.4393,-0.59,-0.59,0.1718,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,1.4393,1.4393,-0.59,-0.59,0.1718,,,0,"1 training closes, needs 30"
