observed,place,area,kind,built_m2,asking_old,asking_new,currency,asking_new_usd,pct,days_listed,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location,trust_band,trust_score
2026-09-23,Asunción,Villa Morra,departamento,,108000,100000,USD,100000,-7.4,9,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/114006036-26,,,,,,,,media,65
2026-09-23,"Capiatá, Central",,terreno,40,270000000,250000000,PYG,42555,-7.4,40,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/capiata/143068144-1,-25.3322,-57.43525,28969,13560,53412,19,exact,alta,85
2026-09-22,Asunción,Catedral,oficina,,270000000,250000000,PYG,42555,-7.4,37,remax,1,https://www.remax.com.py/es-py/propiedades/oficina/venta/asuncion/143038002-324,-25.28498,-57.63625,,,,,,alta,85
2026-09-23,"Ciudad del Este, Alto Paraná",,terreno,,70000,65000,USD,65000,-7.1,45,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143050134-19,-25.51758,-54.64316,52338,23944,124030,0,exact,alta,85
2026-09-21,Asunción,Ycuá Satí,departamento,,700000000,650000000,PYG,110643,-7.1,1480,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143038002-155,-25.28005,-57.5522,172327,115046,234434,63,exact,alta,85
2026-09-23,Asunción,Mburucuyá,departamento,246,580000,540000,USD,540000,-6.9,59,infocasas,1,https://www.infocasas.com.py/palacio-de-los-patos-%E2%80%93-venta-departamento-3-dormitorios-en-suite-19-b1-t1/194048121,,,,,,,,media,55
2026-09-23,"Mariano Roque Alonso, Central",,casa,60,300000000,280000000,PYG,47662,-6.7,112,infocasas,1,https://www.infocasas.com.py/%C2%A1oportunidad-depto-2-dormitorios-%E2%80%93-umax-san-blas-mariano-r-alonso/193847815,-25.23767,-57.53734,48336,29156,79359,42,exact,alta,75
2026-09-22,"Encarnación, Itapúa",,departamento,2250,230000,215000,USD,215000,-6.5,192,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143085032-81,-27.32183,-55.87182,,,,,,alta,85
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,160000,150000,USD,150000,-6.3,302,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143068006-159,-25.19662,-57.51286,67112,31415,123740,19,exact,alta,85
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,80000,75000,USD,75000,-6.3,302,remax,2,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143068006-158,-25.19675,-57.51324,39878,18667,73528,19,exact,alta,85
2026-09-24,Asunción,Manorá,departamento,65,160000,150000,USD,150000,-6.3,32,remax,2,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143072119-134,-25.28274,-57.56514,149324,99689,203140,63,exact,alta,85
2026-09-24,Asunción,Los Laureles,departamento,7,165000,155000,USD,155000,-6.1,156,infocasas,1,https://www.infocasas.com.py/venta-departamento-2-dormitorios-a-estrenar-en-los-laureles-edificio-laurus/193667417,,,,,,,,media,55
2026-09-23,"Limpio, Central",,terreno,,690000000,650000000,PYG,110643,-5.8,95,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/limpio/143098054-73,-25.14373,-57.47312,91851,41811,223841,0,shared_point,alta,85
2026-09-24,"Capiatá, Central",,casa,50,275000000,260000000,PYG,44257,-5.5,345,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143020120-4,-25.38365,-57.44318,35856,21629,58869,42,exact,alta,85
2026-09-23,"Lambaré, Central",,duplex,157,750000000,710000000,PYG,120856,-5.3,128,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/lambare/143098020-94,-25.3637,-57.62521,,,,,,alta,85
2026-09-21,"Fernando de la Mora, Central",,departamento,,42500,40500,USD,40500,-4.7,163,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/fernando-de-la-mora/143092038-97,-25.29877,-57.53828,47382,33764,71907,52,exact,alta,85
2026-09-21,Asunción,Virgen de Fátima,otro,315,860000000,820000000,PYG,139581,-4.7,198,remax,1,https://www.remax.com.py/es-py/propiedades/otro/venta/asuncion/143025091-122,-25.25795,-57.58797,,,,,,alta,85
2026-09-24,"Ciudad del Este, Alto Paraná",,terreno,,445000000,425000000,PYG,72344,-4.5,141,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143050177-18,-25.51948,-54.67256,54202,24798,128449,0,exact,alta,85
2026-09-23,"Villa Elisa, Central",,casa,142,1100000000,1050000000,PYG,178731,-4.5,88,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143080232-11,-25.3635,-57.57713,88179,53189,144772,42,exact,alta,75
