rank,place,barrio,kind,area_m2,area_figure,bedrooms,bathrooms,asking_usd,asking_native,currency,score,part_cuts,part_staleness,part_ask,part_relist,days_listed,share_of_recent_closes_that_took_fewer_days,recent_closes_median_days,cuts_seen,cut_depth,ask_usd_m2,segment_median_terminal_ask_usd_m2,ask_m2_share_below,relisted_below_earlier_ask,listings,source,url,department_market,city_market
72,Asunción,Carmelitas,departamento,52,built,1,1,140000,140000,USD,0.472,0,0.9947,1,0,1260,0.9947,62.5,0,0,2692.31,1388.89,0.9836,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063116-15,Asunción,
73,"Luque, Central",,terreno,465,land,,,123845.73,730000000,PYG,0.472,0,0.9934,1,0,918,0.9934,119.5,0,0,266.33,92.66,0.9267,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143005074-22,Central,Luque
74,Asunción,Ycuá Satí,departamento,48,built,1,1,112000,112000,USD,0.472,0,0.9921,1,0,885,0.9921,62.5,0,0,2333.33,1388.89,0.9016,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143080002-248,Asunción,
75,"Ciudad del Este, Alto Paraná",,terreno,371.2,land,,,162017.36,955000000,PYG,0.472,0,0.9918,1,0,925,0.9918,131.5,0,0,436.47,80.9,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143080045-38,Alto Paraná,Ciudad del Este
76,"Itauguá, Central",,terreno,374,land,,,20018.9,118000000,PYG,0.471,0.7115,0.7947,0,0,252,0.7947,119.5,1,0.0923,53.53,92.66,0.2467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/itaugua/143036126-36,Central,Itauguá
77,Asunción,Manorá,departamento,46,total,1,1,125000,125000,USD,0.471,0,0.9895,1,0,836,0.9895,62.5,0,0,2717.39,1671.33,0.9767,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098021-22,Asunción,
78,Asunción,San Cristóbal,casa,200,built,4,2,340000,340000,USD,0.471,0,0.9889,1,0,1793,0.9889,189.5,0,0,1700,638.83,0.977,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143080002-10,Asunción,
79,"Luque, Central",,terreno,877,land,,,373233.71,2200000000,PYG,0.47,0,0.9868,1,0,752,0.9868,119.5,0,0,425.58,92.66,0.98,0,2,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143013001-109,Central,Luque
80,"Lambaré, Central",,terreno,384,land,3,2,105184.05,620000000,PYG,0.47,0,0.9868,1,0,814,0.9868,119.5,0,0,273.92,92.66,0.9333,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143010155-61,Central,Lambaré
81,"San Lorenzo, Central",,terreno,403,land,8,7,106880.56,630000000,PYG,0.47,0,0.9868,1,0,765,0.9868,119.5,0,0,265.21,92.66,0.9267,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143010138-214,Central,San Lorenzo
82,"Fernando de la Mora, Central",,terreno,360,land,,,93308.43,550000000,PYG,0.47,0,0.9868,1,0,773,0.9868,119.5,0,0,259.19,92.66,0.9067,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143025148-158,Central,Fernando de la Mora
83,"Lambaré, Central",,casa,100,built,3,2,105184.05,620000000,PYG,0.47,0,0.9844,1,0,814,0.9844,141.5,0,0,1051.84,542.23,0.9508,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143010155-62,Central,Lambaré
84,"Luque, Central",,casa,210,built,3,3,202733.77,1195000000,PYG,0.47,0,0.9844,1,0,801,0.9844,141.5,0,0,965.4,542.23,0.9235,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098017-46,Central,Luque
85,"Fernando de la Mora, Central",,terreno,1283,land,1,1,315000,315000,USD,0.469,0,0.9967,0.9833,0,939,0.9967,119.5,0,0,245.52,92.66,0.8933,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143005023-136,Central,Fernando de la Mora
86,Asunción,Recoleta,departamento,47,total,1,1,115000,115000,USD,0.469,0,0.9816,1,0,749,0.9816,62.5,0,0,2446.81,1671.33,0.9244,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010001-696,Asunción,
87,"San Lorenzo, Central",,casa,195,built,2,2,175000,175000,USD,0.469,0,1,0.9768,0,1612,1,141.5,0,0,897.44,542.23,0.8907,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143080002-42,Central,San Lorenzo
88,"Altos, Cordillera",,terreno,768,land,,,220000,220000,USD,0.469,0,0.9804,1,0,1102,0.9804,146,0,0,286.46,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143028003-130,Cordillera,Altos
89,"San Bernardino, Cordillera",,terreno,868,land,,,73786,73786,USD,0.469,0,0.9804,1,0,1138,0.9804,146,0,0,85.01,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143005065-1,Cordillera,San Bernardino
90,"San Bernardino, Cordillera",,terreno,680,land,,,95004.95,560000000,PYG,0.469,0,0.9804,1,0,1015,0.9804,146,0,0,139.71,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143013007-59,Cordillera,San Bernardino
91,"San Bernardino, Cordillera",,terreno,506,land,,,30537.3,180000000,PYG,0.469,0,0.9804,1,0,885,0.9804,146,0,0,60.35,23.03,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143072073-9,Cordillera,San Bernardino
