rank,place,barrio,kind,area_m2,area_figure,bedrooms,bathrooms,asking_usd,asking_native,currency,score,part_cuts,part_staleness,part_ask,part_relist,days_listed,share_of_recent_closes_that_took_fewer_days,recent_closes_median_days,cuts_seen,cut_depth,ask_usd_m2,segment_median_terminal_ask_usd_m2,ask_m2_share_below,relisted_below_earlier_ask,listings,source,url,department_market,city_market
210,Asunción,Virgen de la Asunción,casa,100,built,3,2,127238.77,750000000,PYG,0.451,0,0.9222,0.9914,0,679,0.9222,189.5,0,0,1272.39,638.83,0.8966,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143037037-380,Asunción,
211,Asunción,Mburucuyá,casa,217,built,2,3,265000,265000,USD,0.451,0,0.9444,0.9626,0,759,0.9444,189.5,0,0,1221.2,638.83,0.8851,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143063159-8,Asunción,
212,"San Lorenzo, Central",,terreno,390.45,land,,,115363.15,680000000,PYG,0.451,0,0.9139,1,0,424,0.9139,119.5,0,0,295.46,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143068129-126,Central,San Lorenzo
213,"Capiatá, Central",,casa,85,built,3,1,61074.61,360000000,PYG,0.451,0.5132,0.5417,0.5669,0,154,0.5417,141.5,1,0.0526,718.52,542.23,0.7268,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143061066-35,Central,Capiatá
214,Asunción,Barrio Jara,departamento,94,total,2,2,162900,162900,USD,0.451,0.75,0.6053,0.0727,0,101,0.6053,62.5,1,0.1093,1732.98,1671.33,0.5291,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098009-750,Asunción,
215,Asunción,Carmelitas,departamento,42,total,1,1,95000,95000,USD,0.451,0,0.9921,0.9012,0,858,0.9921,62.5,0,0,2261.9,1671.33,0.8605,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010155-51,Asunción,
216,"San Lorenzo, Central",,casa,90,built,3,2,145000,145000,USD,0.45,0,0.9115,1,0,521,0.9115,141.5,0,0,1611.11,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143063128-205,Central,San Lorenzo
217,"Luque, Central",,casa,100,built,3,2,178134.27,1050000000,PYG,0.45,0,0.9115,1,0,529,0.9115,141.5,0,0,1781.34,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143025084-104,Central,Luque
218,"Ciudad del Este, Alto Paraná",,casa,220,built,4,3,350000,350000,USD,0.45,0,0.9111,1,0,392,0.9111,179,0,0,1590.91,667.36,0.9211,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/143050179-2,Alto Paraná,Ciudad del Este
219,"Luque, Central",,casa,95,built,3,2,78888.03,465000000,PYG,0.45,0,0.9948,0.8948,0,934,0.9948,141.5,0,0,830.4,542.23,0.8579,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143005023-139,Central,Luque
220,"Encarnación, Itapúa",,terreno,971,land,,,350000,350000,USD,0.45,0,0.9104,1,0,1046,0.9104,281,0,0,360.45,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011007-1682,Itapúa,Encarnación
221,"Presidente Franco, Alto Paraná",,terreno,360,land,,,115363.15,680000000,PYG,0.45,0,0.9098,1,0,329,0.9098,131.5,0,0,320.45,80.9,0.9756,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/presidente-franco/143050174-10,Alto Paraná,
222,"Encarnación, Itapúa",,departamento,52,total,1,1,105000,105000,USD,0.45,0,0.9091,1,0,744,0.9091,123,0,0,2019.23,1487.88,0.9231,0,2,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143032069-18,Itapúa,Encarnación
223,"Encarnación, Itapúa",,departamento,43,total,1,1,93000,93000,USD,0.45,0,0.9091,1,0,658,0.9091,123,0,0,2162.79,1487.88,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143056031-171,Itapúa,Encarnación
224,"Encarnación, Itapúa",,departamento,43,total,1,1,90000,90000,USD,0.45,0,0.9091,1,0,778,0.9091,123,0,0,2093.02,1487.88,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143085028-2,Itapúa,Encarnación
225,"Luque, Central",,duplex,141,built,3,2,155000,155000,USD,0.45,0,0.9091,1,0,542,0.9091,150,0,0,1099.29,723.5,0.9615,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/143071067-76,Central,Luque
226,"Mariano Roque Alonso, Central",,duplex,161,built,4,4,152686.52,900000000,PYG,0.45,0,0.9394,0.9615,0,630,0.9394,150,0,0,948.36,723.5,0.8846,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/mariano-roque-alonso/143013001-121,Central,Mariano Roque Alonso
227,"Lambaré, Central",,duplex,161,built,3,3,152686.52,900000000,PYG,0.45,0,0.9394,0.9615,0,660,0.9394,150,0,0,948.36,723.5,0.8846,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/lambare/143063138-32,Central,Lambaré
228,Asunción,Las Lomas (Carmelitas),departamento,41,total,1,1,125000,125000,USD,0.449,0,0.9079,1,0,378,0.9079,62.5,0,0,3048.78,1671.33,0.9884,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063031-292,Asunción,
229,Asunción,Villa Morra,departamento,45,built,1,1,123506.43,728000000,PYG,0.449,0,0.9079,1,0,378,0.9079,62.5,0,0,2744.59,1388.89,0.9836,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098121-141,Asunción,
230,"Fernando de la Mora, Central",,terreno,811,land,3,3,205278.54,1210000000,PYG,0.449,0,0.9073,1,0,413,0.9073,119.5,0,0,253.12,92.66,0.9,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143071055-291,Central,Fernando de la Mora
231,"Luque, Central",,terreno,424,land,3,3,110273.6,650000000,PYG,0.449,0,0.9073,1,0,412,0.9073,119.5,0,0,260.08,92.66,0.9067,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143063138-46,Central,Luque
232,"Encarnación, Itapúa",,duplex,150,built,3,3,155231.29,915000000,PYG,0.449,0,0.9885,0.8979,0,1229,0.9885,151,0,0,1034.88,742.02,0.8592,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/encarnacion/143011043-269,Itapúa,Encarnación
233,"Limpio, Central",,casa,64,built,2,1,59378.09,350000000,PYG,0.449,0,0.9063,1,0,515,0.9063,141.5,0,0,927.78,542.23,0.9126,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143094007-76,Central,Limpio
234,"Villa Elisa, Central",,casa,65,built,2,2,53440.28,315000000,PYG,0.449,0,0.9896,0.8948,0,854,0.9896,141.5,0,0,822.16,542.23,0.8579,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143096011-32,Central,Villa Elisa
235,"Lambaré, Central",,casa,240,built,4,3,217154.16,1280000000,PYG,0.448,0,0.9115,0.9904,0,528,0.9115,141.5,0,0,904.81,542.23,0.8962,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143075005-29,Central,Lambaré
236,Asunción,Recoleta,terreno,340,land,3,3,234967.59,1385000000,PYG,0.448,0,1,0.8777,0,1514,1,153,0,0,691.08,422.08,0.8511,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143054072-2,Asunción,
237,"Loma Grande, Cordillera",,terreno,360,land,,,48859.69,288000000,PYG,0.448,0,0.902,1,0,512,0.902,146,0,0,135.72,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/loma-grande/143063096-13,Cordillera,
238,"Altos, Cordillera",,terreno,740,land,,,180000,180000,USD,0.448,0,0.902,1,0,605,0.902,146,0,0,243.24,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143071054-458,Cordillera,Altos
239,"San Bernardino, Cordillera",,terreno,360,land,,,22054.72,130000000,PYG,0.448,0,0.902,1,0,511,0.902,146,0,0,61.26,23.03,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098129-4,Cordillera,San Bernardino
240,"San Bernardino, Cordillera",,terreno,1080,land,11,11,140000,140000,USD,0.448,0,0.902,1,0,543,0.902,146,0,0,129.63,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063153-16,Cordillera,San Bernardino
241,"San Bernardino, Cordillera",,terreno,756,land,,,70000,70000,USD,0.448,0,0.902,1,0,591,0.902,146,0,0,92.59,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098052-11,Cordillera,San Bernardino
242,"San Bernardino, Cordillera",,terreno,1022.71,land,,,81817,81817,USD,0.448,0,0.902,1,0,585,0.902,146,0,0,80,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063136-288,Cordillera,San Bernardino
243,"San Bernardino, Cordillera",,terreno,378,land,,,35000,35000,USD,0.448,0,0.902,1,0,591,0.902,146,0,0,92.59,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098052-10,Cordillera,San Bernardino
244,Asunción,Madame Lynch,terreno,412.86,land,3,2,330000,330000,USD,0.448,0,0.914,0.984,0,532,0.914,153,0,0,799.3,422.08,0.8936,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143038002-280,Asunción,
245,"San Bernardino, Cordillera",,casa,186,built,4,5,210000,210000,USD,0.447,0,0.9286,0.9615,0,656,0.9286,164,0,0,1129.03,732.45,0.8846,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143061003-88,Cordillera,San Bernardino
246,"Fernando de la Mora, Central",,terreno,410,land,,,127238.77,750000000,PYG,0.447,0,0.8974,1,0,400,0.8974,119.5,0,0,310.34,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143098052-20,Central,Fernando de la Mora
247,"Luque, Central",,terreno,576,land,2,1,127238.77,750000000,PYG,0.447,0,0.9371,0.95,0,480,0.9371,119.5,0,0,220.9,92.66,0.88,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143063204-30,Central,Luque
248,Asunción,San Vicente,departamento,41.65,built,1,1,85000,85000,USD,0.447,0,0.9921,0.8811,0,899,0.9921,62.5,0,0,2040.82,1388.89,0.8525,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143094007-31,Asunción,
249,"Luque, Central",,casa,219,built,2,1,93308.43,550000000,PYG,0.446,0.75,0.6458,0,0,220,0.6458,141.5,1,0.1667,426.07,542.23,0.2732,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143095031-3,Central,Luque
250,"Luque, Central",,casa,90,built,2,1,84825.84,500000000,PYG,0.446,0,0.8958,1,0,500,0.8958,141.5,0,0,942.51,542.23,0.9126,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063206-18,Central,Luque
251,"Cambyretá, Itapúa",,terreno,360,land,,,75495,445000000,PYG,0.446,0,0.8955,1,0,914,0.8955,281,0,0,209.71,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/cambyreta/143085019-205,Itapúa,
252,"Luque, Central",,casa,96,built,3,2,77189.82,454990000,PYG,0.446,0,1,0.8675,0,1345,1,141.5,0,0,804.06,542.23,0.847,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063071-3,Central,Luque
253,Asunción,Mariscal López,terreno,361,land,,,250000,250000,USD,0.445,0,0.9892,0.8777,0,835,0.9892,153,0,0,692.52,422.08,0.8511,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143098113-10,Asunción,
254,Asunción,Mburucuyá,terreno,507,land,4,3,350000,350000,USD,0.445,0,0.9892,0.8777,0,853,0.9892,153,0,0,690.34,422.08,0.8511,0,2,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143010038-300,Asunción,
255,"San Lorenzo, Central",,casa,146,built,3,2,254477.53,1500000000,PYG,0.445,0,0.8906,1,0,485,0.8906,141.5,0,0,1743,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143078018-60,Central,San Lorenzo
256,Asunción,Las Lomas (Carmelitas),terreno,414,land,5,7,322338.21,1900000000,PYG,0.445,0,0.9032,0.984,0,457,0.9032,153,0,0,778.59,422.08,0.8936,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143100035-5,Asunción,
257,"Ciudad del Este, Alto Paraná",,casa,75,built,3,1,120000,120000,USD,0.444,0,0.8889,1,0,353,0.8889,179,0,0,1600,667.36,0.9211,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/143050002-230,Alto Paraná,Ciudad del Este
258,Asunción,Ciudad Nueva,casa,190,built,3,3,350000,350000,USD,0.444,0,0.8889,1,0,542,0.8889,189.5,0,0,1842.11,638.83,0.9885,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143094028-30,Asunción,
259,"Luque, Central",,terreno,420,land,,,84825.84,500000000,PYG,0.444,0,0.9669,0.9,0,660,0.9669,119.5,0,0,201.97,92.66,0.86,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143010004-101,Central,Luque
260,"Encarnación, Itapúa",,casa,170,built,4,4,250000,250000,USD,0.443,0,0.8846,1,0,657,0.8846,178,0,0,1470.59,537.5,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085032-66,Itapúa,Encarnación
261,"San Bernardino, Cordillera",,terreno,680,land,,,75000,75000,USD,0.443,0,0.8824,1,0,506,0.8824,146,0,0,110.29,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098126-424,Cordillera,San Bernardino
262,"Caraguatay, Cordillera",,terreno,566,land,,,60000,60000,USD,0.443,0,0.8824,1,0,492,0.8824,146,0,0,106.01,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/caraguatay/143098116-89,Cordillera,
263,Asunción,Santa Librada,casa,100,built,2,1,128935.28,760000000,PYG,0.443,0,0.8889,0.9914,0,534,0.8889,189.5,0,0,1289.35,638.83,0.8966,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143063204-23,Asunción,
264,"Encarnación, Itapúa",,terreno,399,land,,,135000,135000,USD,0.442,0,0.8806,1,0,834,0.8806,281,0,0,338.35,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143085019-288,Itapúa,Encarnación
265,"Encarnación, Itapúa",,terreno,372,land,,,118000,118000,USD,0.442,0,0.8806,1,0,805,0.8806,281,0,0,317.2,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011007-1839,Itapúa,Encarnación
266,"Fernando de la Mora, Central",,casa,126,built,3,4,161169.1,950000000,PYG,0.442,0,0.8802,1,0,474,0.8802,141.5,0,0,1279.12,542.23,0.9945,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143091036-78,Central,Fernando de la Mora
267,"Fernando de la Mora, Central",,casa,300,built,3,4,254477.53,1500000000,PYG,0.442,0,0.9531,0.9085,0,695,0.9531,141.5,0,0,848.26,542.23,0.8634,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143063068-90,Central,Fernando de la Mora
268,"Fernando de la Mora, Central",,casa,420,built,3,3,350000,350000,USD,0.442,0,0.9531,0.9085,0,708,0.9531,141.5,0,0,833.33,542.23,0.8634,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143010155-71,Central,Fernando de la Mora
269,"Luque, Central",,casa,130,built,2,3,105184.05,620000000,PYG,0.442,0,0.974,0.8811,0,736,0.974,141.5,0,0,809.11,542.23,0.8525,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143094007-46,Central,Luque
270,"Encarnación, Itapúa",,departamento,73,total,2,1,155000,155000,USD,0.442,0,0.8788,1,0,598,0.8788,123,0,0,2123.29,1487.88,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143032069-27,Itapúa,Encarnación
271,"Encarnación, Itapúa",,departamento,48,total,1,1,96000,96000,USD,0.442,0,0.8788,1,0,554,0.8788,123,0,0,2000,1487.88,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143032069-40,Itapúa,Encarnación
272,"Encarnación, Itapúa",,departamento,48,total,1,1,105000,105000,USD,0.442,0,0.8788,1,0,546,0.8788,123,0,0,2187.5,1487.88,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143032069-42,Itapúa,Encarnación
273,"Luque, Central",,duplex,111,built,3,2,127238.77,750000000,PYG,0.442,0,0.8788,1,0,519,0.8788,150,0,0,1146.3,723.5,0.9615,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/143028003-168,Central,Luque
274,Asunción,San Vicente,duplex,150,built,3,3,144203.93,850000000,PYG,0.442,0,0.9885,0.8627,0,961,0.9885,151,0,0,961.36,742.02,0.8451,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/asuncion/143010040-238,Asunción,
275,"Lambaré, Central",,casa,260,built,3,2,208671.58,1230000000,PYG,0.442,0,0.9948,0.8538,0,956,0.9948,141.5,0,0,802.58,542.23,0.8415,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143100058-1,Central,Lambaré
276,"Lambaré, Central",,terreno,360,land,,,83129.33,490000000,PYG,0.441,0,0.904,0.9667,0,408,0.904,119.5,0,0,230.91,92.66,0.8867,0,2,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143063148-157,Central,Lambaré
277,"Fernando de la Mora, Central",,casa,200,built,3,4,180000,180000,USD,0.441,0,0.8958,0.9768,0,500,0.8958,141.5,0,0,900,542.23,0.8907,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143063076-79,Central,Fernando de la Mora
278,"Luque, Central",,terreno,360,land,,,67860.68,400000000,PYG,0.441,0,0.9967,0.85,0,927,0.9967,119.5,0,0,188.5,92.66,0.84,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143010150-21,Central,Luque
279,"Lambaré, Central",,terreno,360,land,,,67860.68,400000000,PYG,0.441,0,0.9967,0.85,0,1373,0.9967,119.5,0,0,188.5,92.66,0.84,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143028009-66,Central,Lambaré
280,"San Lorenzo, Central",,terreno,439,land,,,83129.33,490000000,PYG,0.441,0,0.9967,0.85,0,1183,0.9967,119.5,0,0,189.36,92.66,0.84,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143005023-159,Central,San Lorenzo
281,"Lambaré, Central",,terreno,1132,land,,,230000,230000,USD,0.44,0,0.9536,0.9,0,576,0.9536,119.5,0,0,203.18,92.66,0.86,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143063199-9,Central,Lambaré
282,Asunción,Villa Morra,departamento,58,total,2,2,155000,155000,USD,0.44,0,0.8711,1,0,330,0.8711,62.5,0,0,2672.41,1671.33,0.9767,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098133-670,Asunción,
283,"Luque, Central",,terreno,1440,land,1,1,271442.7,1600000000,PYG,0.439,0,0.9901,0.85,0,882,0.9901,119.5,0,0,188.5,92.66,0.84,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143005023-147,Central,Luque
284,"Areguá, Central",,casa,109,built,2,1,139000,139000,USD,0.439,0,0.8698,1,0,457,0.8698,141.5,0,0,1275.23,542.23,0.9945,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/aregua/143054093-27,Central,Areguá
285,"Presidente Franco, Alto Paraná",,casa,100,built,3,1,120000,120000,USD,0.439,0.45,0.3556,0.8553,0,153,0.3556,179,1,0.04,1200,667.36,0.8421,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/presidente-franco/143050100-47,Alto Paraná,
286,"Encarnación, Itapúa",,departamento,55.94,total,1,1,65000,65000,USD,0.439,0.6071,0.8182,0,0,319,0.8182,123,1,0.0714,1161.96,1487.88,0.1923,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143011007-2127,Itapúa,Encarnación
287,"Luque, Central",,terreno,1296,land,,,380000,380000,USD,0.439,0,0.8675,1,0,347,0.8675,119.5,0,0,293.21,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143098056-15,Central,Luque
288,"Encarnación, Itapúa",,duplex,155,built,3,3,152686.52,900000000,PYG,0.439,0,0.977,0.8627,0,869,0.977,151,0,0,985.07,742.02,0.8451,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/encarnacion/143011089-1,Itapúa,Encarnación
289,"Luque, Central",,casa,84.6,built,3,2,66842.77,394000000,PYG,0.439,0,0.9948,0.8402,0,868,0.9948,141.5,0,0,790.1,542.23,0.8361,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143005083-12,Central,Luque
290,"Luque, Central",,casa,155,built,3,3,139900,139900,USD,0.439,0,0.8854,0.9768,0,479,0.8854,141.5,0,0,902.58,542.23,0.8907,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098023-21,Central,Luque
291,Asunción,Nazareth,casa,220,built,3,2,312159.11,1840000000,PYG,0.439,0,0.8667,1,0,508,0.8667,189.5,0,0,1418.91,638.83,0.9655,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143098017-85,Asunción,
292,Asunción,Herrera,casa,150,built,2,2,322338.21,1900000000,PYG,0.439,0,0.8667,1,0,494,0.8667,189.5,0,0,2148.92,638.83,0.9885,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143061085-6,Asunción,
293,"Encarnación, Itapúa",,terreno,725,land,,,170000,170000,USD,0.438,0,0.8657,1,0,800,0.8657,281,0,0,234.48,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143085019-300,Itapúa,Encarnación
294,"San Bernardino, Cordillera",,terreno,388.8,land,,,36475.11,215000000,PYG,0.438,0,0.8627,1,0,420,0.8627,146,0,0,93.81,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143061061-109,Cordillera,San Bernardino
295,"San Bernardino, Cordillera",,terreno,1200,land,,,120000,120000,USD,0.438,0,0.8627,1,0,413,0.8627,146,0,0,100,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143038046-161,Cordillera,San Bernardino
296,"San Bernardino, Cordillera",,terreno,2500,land,,,218002.42,1285000000,PYG,0.438,0,0.8627,1,0,413,0.8627,146,0,0,87.2,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063029-51,Cordillera,San Bernardino
297,"Encarnación, Itapúa",,casa,300,built,3,4,320000,320000,USD,0.437,0,0.9231,0.9239,0,669,0.9231,178,0,0,1066.67,537.5,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085019-365,Itapúa,Encarnación
298,Asunción,Ciudad Nueva,duplex,120,built,2,1,140000,140000,USD,0.437,0,0.8621,1,0,442,0.8621,151,0,0,1166.67,742.02,0.9296,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/asuncion/143100026-24,Asunción,
299,"Cambyretá, Itapúa",,terreno,360,land,2,1,61074.61,360000000,PYG,0.436,0,0.8806,0.9722,0,858,0.8806,281,0,0,169.65,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/cambyreta/143085018-58,Itapúa,
300,"Encarnación, Itapúa",,terreno,460,land,,,76343.26,450000000,PYG,0.436,0,0.8806,0.9722,0,820,0.8806,281,0,0,165.96,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143085019-290,Itapúa,Encarnación
301,"San Bernardino, Cordillera",,casa,260,built,5,4,330000,330000,USD,0.436,0,0.8571,1,0,409,0.8571,164,0,0,1269.23,732.45,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143026092-65,Cordillera,San Bernardino
302,Asunción,Ytay,casa,123,built,2,2,144203.93,850000000,PYG,0.436,0,0.9556,0.8764,0,905,0.9556,189.5,0,0,1172.39,638.83,0.8506,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143054001-273,Asunción,
303,"Luque, Central",,casa,219,built,3,4,220000,220000,USD,0.435,0,0.8542,1,0,434,0.8542,141.5,0,0,1004.57,542.23,0.9344,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063049-38,Central,Luque
304,"Villa Elisa, Central",,casa,65,built,2,1,83977.59,495000000,PYG,0.435,0,0.8542,1,0,442,0.8542,141.5,0,0,1291.96,542.23,0.9945,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143028077-2,Central,Villa Elisa
305,"Fernando de la Mora, Central",,terreno,1217,land,,,229029.78,1350000000,PYG,0.435,0,0.9868,0.8333,0,779,0.9868,119.5,0,0,188.19,92.66,0.8333,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143005020-149,Central,Fernando de la Mora
306,"Ciudad del Este, Alto Paraná",,terreno,434,land,,,67860.68,400000000,PYG,0.434,0,0.9918,0.8232,0,1102,0.9918,131.5,0,0,156.36,80.9,0.8293,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143005060-8,Alto Paraná,Ciudad del Este
307,"Encarnación, Itapúa",,departamento,60,total,1,1,115000,115000,USD,0.434,0,0.8788,0.9615,0,457,0.8788,123,0,0,1916.67,1487.88,0.8846,0,2,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143011024-358,Itapúa,Encarnación
308,"Ñemby, Central",,casa,150,built,4,4,121300.96,715000000,PYG,0.434,0,0.9427,0.8811,0,597,0.9427,141.5,0,0,808.67,542.23,0.8525,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143001176-5,Central,Ñemby
309,"Hohenau, Itapúa",,casa,130,built,3,2,165000,165000,USD,0.433,0,0.8462,1,0,457,0.8462,178,0,0,1269.23,537.5,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/hohenau/143011043-229,Itapúa,
310,"San Juan del Paraná, Itapúa",,casa,200,built,3,2,360000,360000,USD,0.433,0,0.8462,1,0,605,0.8462,178,0,0,1800,537.5,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-juan-del-parana/143085019-400,Itapúa,San Juan del Paraná
