bank,item,kind,department,city,built_m2,land_m2,asking_base_gross_usd,asking_base_net_usd,price_check,first_seen,lat,lon
sudameris,46,terreno,Alto Paraná,Ciudad del Este,,953,,,0,2026-09-08,-25.43549,-54.68529
sudameris,86,terreno,Caaguazú,Juan Eulogio Estigarribia,,360,,,0,2026-09-08,-25.36197,-55.70456
sudameris,814,oficina,Caaguazú,Coronel Oviedo,51,,,,0,2026-09-08,-25.44515,-56.44072
sudameris,85,terreno,Caaguazú,Juan Eulogio Estigarribia,,360,,,0,2026-09-08,-25.36197,-55.70456
sudameris,84,terreno,Caaguazú,Juan Eulogio Estigarribia,,360,,,0,2026-09-08,-25.36197,-55.70456
sudameris,839,terreno,Alto Paraná,Itakyry,,32000,,,0,2026-09-08,-24.97831,-55.15919
sudameris,896,terreno,Alto Paraná,Minga Guazú,,36845,,,0,2026-09-08,-25.49611,-54.90569
sudameris,67/4,terreno,Alto Paraná,Hernandarias,,1737,,,0,2026-09-08,-25.33681,-54.63652
sudameris,817,oficina,Alto Paraná,Santa Rita,,7425,,,0,2026-09-08,-25.77194,-55.07464
bna,finca-9740,unknown,Concepción,Horqueta,,325,,,0,2026-09-08,,
