first_seen,place,area,kind,built_m2,bedrooms,asking,currency,asking_usd,asking_usd_m2,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location
2026-09-19,"Mariano Roque Alonso, Central",,casa,53,2,350000000,PYG,59378,1120,infocasas,1,https://www.infocasas.com.py/%C2%A1tu-casa-propia-en-mariano-roque-alonso/194272593,-25.20034,-57.53905,35251,21003,57769,42,exact
2026-09-19,"Mariano Roque Alonso, Central",,casa,210,2,350000000,PYG,59378,283,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/mariano-roque-alonso/143072083-44,-25.22477,-57.56305,118579,70649,194327,42,exact
2026-09-25,"Mariano Roque Alonso, Central",,casa,250,4,260000,USD,260000,1040,infocasas,1,https://www.infocasas.com.py/en-venta-hermosa-casa-en-planta-baja-en-surubi%E2%80%99i-barrio-alta-loma-v088/194286834,-25.1813,-57.52135,87830,52329,143935,42,exact
2026-09-19,"Ñemby, Central",,casa,80,2,380000000,PYG,64468,806,infocasas,1,https://www.infocasas.com.py/%C2%A1exclusiva-oportunidad-tu-hogar-so%C3%B1ado-en-%C3%B1emby-barrio-rincon-confort-y-estilo-a-tu-alcance/194271693,,,,,,,
2026-09-23,"Ñemby, Central",,casa,126,3,550000000,PYG,93308,741,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143061077-31,,,,,,,
2026-09-23,"Ñemby, Central",,casa,258,2,650000000,PYG,110274,427,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143061077-32,-25.39492,-57.51981,89507,53328,146685,42,exact
2026-09-24,"Ñemby, Central",,casa,530,6,1100000000,PYG,186617,352,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143092089-1,-25.40165,-57.53165,199082,118613,326256,42,exact
2026-09-24,"Ñemby, Central",,duplex,100,2,580000000,PYG,98398,984,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/nemby/143019093-50,,,,,,,
2026-09-23,"Nueva Italia, Central",,casa,200,3,125000,USD,125000,625,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/nueva-italia/143063225-28,-25.60585,-57.48496,126430,75327,207194,42,exact
2026-09-23,"San Antonio, Central",,casa,230,2,590000000,PYG,100094,435,infocasas,1,https://www.infocasas.com.py/-casaventapy-central-san-antonio-la-merced/194288777,-25.40469,-57.56093,67806,40399,111120,42,exact
2026-09-22,"San Lorenzo, Central",,casa,60,2,335000000,PYG,56833,947,infocasas,1,https://www.infocasas.com.py/vendo-chalet-en-san-lorenzo-barrio-reducto/194290930,,,,,,,
2026-09-19,"San Lorenzo, Central",,casa,64,2,360000000,PYG,61075,954,infocasas,1,https://www.infocasas.com.py/residencia-a-estrenar-en-san-lorenzo-barrio-mitai-tu-nuevo-hogar-te-esta-esperando/194268360,-25.38016,-57.49809,35722,21283,58542,42,exact
2026-09-23,"San Lorenzo, Central",,casa,100,3,200000,USD,200000,2000,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143091063-11,-25.36838,-57.52949,64976,38713,106482,42,exact
